Year,Month,Day,Hour,BEBE
2023,2,7,18,0.712791225
2023,2,7,19,0.712351425
2023,2,7,20,0.712258725
2023,2,7,21,0.711002025
2023,2,7,22,0.710800025
2023,2,7,23,0.71190635
2023,2,8,0,0.711358725
2023,2,8,1,0.712653325
2023,2,8,2,0.711050875
2023,2,8,3,0.712619425
2023,2,8,4,0.711965275
2023,2,8,5,0.7118706
2023,2,8,6,0.71110305
2023,2,8,7,0.712218675
2023,2,8,8,0.7116702
2023,2,8,9,0.712842825
2023,2,8,10,0.7112192
2023,2,8,11,0.71141695
2023,2,8,12,0.7111216
2023,2,8,13,0.7112088
2023,2,8,14,0.788376825
2023,2,8,15,0.935201625
2023,2,8,16,0.8938017
2023,2,8,17,0.9296031
2023,2,8,18,0.9700728
2023,2,8,19,0.96892115
2023,2,8,20,0.956051125
2023,2,8,21,0.951219375
2023,2,8,22,0.94760415
2023,2,8,23,0.971701475
2023,2,9,0,0.986286425
2023,2,9,1,0.97860255
2023,2,9,2,0.977548075
2023,2,9,3,0.978646225
2023,2,9,4,0.985520625
2023,2,9,5,0.98788675
